1784008671.215397, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127737053481574
1784008671.215843, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 202753783539203408928574895973084142257, 1784008670.776649, 1, 6, 6127737053944471
1784008671.216459, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 297081836837239379746794687741400977451, 1784008671.216313, 1, 7, 6127737054534633
1784008671.216747, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127737054821817
1784008671.283268, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127737121361937
1784008671.283391, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127737121468369
1784008671.348660, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127737186753878
1784008671.349223, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127737187307431
1784008671.683939, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127737522032308
1784008671.684093, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 297081836837239379746794687741400977451, 1784008671.216313, 1, 7, 6127737522189428
1784008671.684869, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 10109393665736095815100344384345509214, 1784008671.684725, 1, 8, 6127737522954198
1784008671.685205, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127737523281079
1784008671.720994, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127737559085290
1784008671.721114, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127737559191530
1784008671.778557, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127737616654856
1784008671.779398, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127737617483627
1784008672.116019, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127737954104268
1784008672.116181, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 10109393665736095815100344384345509214, 1784008671.684725, 1, 8, 6127737954284476
1784008672.117019, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 337544806431408094408679705474487601959, 1784008672.116872, 1, 9, 6127737955105807
1784008672.117333, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127737955407727
1784008672.166219, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127738004313382
1784008672.166347, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127738004422375
1784008672.222457, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127738060552690
1784008672.222861, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127738060945043
1784008672.556420, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127738394503947
1784008672.556637, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 337544806431408094408679705474487601959, 1784008672.116872, 1, 9, 6127738394729451
1784008672.557226, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 154278273238505408663024193916601226280, 1784008672.557086, 1, 10, 6127738395302157
1784008672.557502, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127738395576206
1784008672.597658, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127738435749532
1784008672.597788, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127738435865037
1784008672.655103, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127738493191851
1784008672.655524, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127738493615564
1784008672.989310, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127738827392485
1784008672.989430, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 154278273238505408663024193916601226280, 1784008672.557086, 1, 10, 6127738827522022
1784008673.000463, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 183284378668666090096083474131222189983, 1784008673.000246, 1, 11, 6127738838542388
1784008673.000743, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127738838817381
1784008673.039254, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127738877344879
1784008673.039363, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127738877434607
1784008673.091093, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127738929187422
1784008673.091480, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127738929562127
1784008673.426326, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127739264410330
1784008673.427062, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 183284378668666090096083474131222189983, 1784008673.000246, 1, 11, 6127739265190636
1784008673.427737, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 286079926850757906107592692331431430633, 1784008673.427578, 1, 12, 6127739265813213
1784008673.428018, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127739266092398
1784008673.452693, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127739290778882
1784008673.452809, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127739290890835
1784008673.507404, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127739345494665
1784008673.508079, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127739346163355
1784008673.845195, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127739683278332
1784008673.845904, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 286079926850757906107592692331431430633, 1784008673.427578, 1, 12, 6127739684048718
1784008673.846558, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 247367148119404170066306788121313845884, 1784008673.846420, 1, 13, 6127739684633328
1784008673.846830, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127739684898609
1784008673.886761, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127739724852495
1784008673.886891, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127739724970463
1784008673.942645, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127739780734985
1784008673.943048, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127739781133306
1784008674.278132, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127740116217525
1784008674.278399, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 247367148119404170066306788121313845884, 1784008673.846420, 1, 13, 6127740116502294
1784008674.278963, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 133858223841954581280322477012944368512, 1784008674.278814, 1, 14, 6127740117038392
1784008674.279239, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127740117313256
1784008674.317431, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127740155522738
1784008674.317556, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127740155633954
1784008674.372753, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127740210844938
1784008674.373158, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127740211242683
1784008674.710383, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127740548483932
1784008674.711072, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 133858223841954581280322477012944368512, 1784008674.278814, 1, 14, 6127740549191550
1784008674.711939, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 320413201163291878584065304403667995775, 1784008674.711786, 1, 15, 6127740550023552
1784008674.712227, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127740550302897
1784008674.749594, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127740587686920
1784008674.749721, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127740587799512
1784008674.804085, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127740642174494
1784008674.804538, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127740642622031
1784008675.143160, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127740981244468
1784008675.143354, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 320413201163291878584065304403667995775, 1784008674.711786, 1, 15, 6127740981448629
1784008675.143958, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 202246016875160520431270537575383546715, 1784008675.143790, 1, 16, 6127740982034102
1784008675.144228, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127740982302231
1784008675.183438, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127741021529907
1784008675.183565, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127741021643187
1784008675.248134, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127741086223941
1784008675.248690, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127741086774022
1784008675.584335, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127741422421090
1784008675.584526, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 202246016875160520431270537575383546715, 1784008675.143790, 1, 16, 6127741422620387
1784008675.585114, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 136477502829631672981007067732531692840, 1784008675.584977, 1, 17, 6127741423190276
1784008675.585392, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127741423465781
1784008675.618304, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127741456391424
1784008675.618418, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127741456498368
1784008675.674444, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127741512536858
1784008675.674849, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127741512934987
1784008676.010393, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127741848477783
1784008676.010528, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 136477502829631672981007067732531692840, 1784008675.584977, 1, 17, 6127741848621447
1784008676.012361, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 296270018698373184637692861248441664188, 1784008676.012210, 1, 18, 6127741850450780
1784008676.012669, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127741850738317
1784008676.047095, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127741885187212
1784008676.047220, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127741885298924
1784008676.087056, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127741925148282
1784008676.087394, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127741925465259
1784008676.425123, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127742263208236
1784008676.425399, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 296270018698373184637692861248441664188, 1784008676.012210, 1, 18, 6127742263500509
1784008676.425917, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 8793993058553384644252859121192524643, 1784008676.425784, 1, 19, 6127742263993070
1784008676.426203, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127742264277631
1784008676.469537, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127742307632614
1784008676.469691, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127742307781079
1784008676.523505, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127742361597371
