1784081932.432194, BG indexer pilot, Chroma indexer, run, end, 6200998270272053
1784081932.432303, BG indexer pilot, pipeline - passages, run, end, 221392371790413977801295465426316099760, 1784081932.369635, 1, 8, 6200998270390949
1784081932.432686, BG indexer pilot, pipeline - passages, run, start, 328198145880212689405072941244351976391, 1784081932.432635, 1, 9, 6200998270760437
1784081932.432929, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998271010678
1784081932.433074, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998271135750
1784081932.433114, BG indexer pilot, Embed passages, run, start, 6200998271187366
1784081932.465236, BG indexer pilot, Embed passages, run, end, 6200998303324086
1784081932.465484, BG indexer pilot, Chroma indexer, run, start, 6200998303585766
1784081932.486991, BG indexer pilot, Chroma indexer, run, end, 6200998325069127
1784081932.487092, BG indexer pilot, pipeline - passages, run, end, 328198145880212689405072941244351976391, 1784081932.432635, 1, 9, 6200998325175223
1784081932.487543, BG indexer pilot, pipeline - passages, run, start, 256737848377528379595263580360576699449, 1784081932.487492, 1, 10, 6200998325618743
1784081932.487797, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998325870872
1784081932.487937, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998325998648
1784081932.487987, BG indexer pilot, Embed passages, run, start, 6200998326064168
1784081932.520250, BG indexer pilot, Embed passages, run, end, 6200998358321960
1784081932.520398, BG indexer pilot, Chroma indexer, run, start, 6200998358483161
1784081932.541294, BG indexer pilot, Chroma indexer, run, end, 6200998379372856
1784081932.541386, BG indexer pilot, pipeline - passages, run, end, 256737848377528379595263580360576699449, 1784081932.487492, 1, 10, 6200998379464488
1784081932.541791, BG indexer pilot, pipeline - passages, run, start, 23005667960644227568175652584627836769, 1784081932.541671, 1, 11, 6200998379863593
1784081932.541937, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998380013897
1784081932.542076, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998380138681
1784081932.542136, BG indexer pilot, Embed passages, run, start, 6200998380208793
1784081932.573475, BG indexer pilot, Embed passages, run, end, 6200998411556456
1784081932.573574, BG indexer pilot, Chroma indexer, run, start, 6200998411663016
1784081932.600287, BG indexer pilot, Chroma indexer, run, end, 6200998438375632
1784081932.600412, BG indexer pilot, pipeline - passages, run, end, 23005667960644227568175652584627836769, 1784081932.541671, 1, 11, 6200998438500704
1784081932.600823, BG indexer pilot, pipeline - passages, run, start, 249360989752062438700009122437526454438, 1784081932.600769, 1, 12, 6200998438898513
1784081932.601064, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998439139425
1784081932.601202, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998439264177
1784081932.601315, BG indexer pilot, Embed passages, run, start, 6200998439387890
1784081932.633277, BG indexer pilot, Embed passages, run, end, 6200998471361665
1784081932.633380, BG indexer pilot, Chroma indexer, run, start, 6200998471465905
1784081932.658176, BG indexer pilot, Chroma indexer, run, end, 6200998496260279
1784081932.658286, BG indexer pilot, pipeline - passages, run, end, 249360989752062438700009122437526454438, 1784081932.600769, 1, 12, 6200998496371783
1784081932.658676, BG indexer pilot, pipeline - passages, run, start, 96093672417250526292249218266381471977, 1784081932.658624, 1, 13, 6200998496751511
1784081932.658916, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998496990520
1784081932.659047, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998497109048
1784081932.659112, BG indexer pilot, Embed passages, run, start, 6200998497185304
1784081932.690984, BG indexer pilot, Embed passages, run, end, 6200998529069368
1784081932.691649, BG indexer pilot, Chroma indexer, run, start, 6200998529742217
1784081932.716256, BG indexer pilot, Chroma indexer, run, end, 6200998554332926
1784081932.716358, BG indexer pilot, pipeline - passages, run, end, 96093672417250526292249218266381471977, 1784081932.658624, 1, 13, 6200998554440942
1784081932.716845, BG indexer pilot, pipeline - passages, run, start, 278722036745888174311493629478757487513, 1784081932.716799, 1, 14, 6200998554920831
1784081932.717009, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998555085087
1784081932.717154, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998555216319
1784081932.717268, BG indexer pilot, Embed passages, run, start, 6200998555340927
1784081932.750005, BG indexer pilot, Embed passages, run, end, 6200998588091168
1784081932.750377, BG indexer pilot, Chroma indexer, run, start, 6200998588457185
1784081932.777979, BG indexer pilot, Chroma indexer, run, end, 6200998616061242
1784081932.778090, BG indexer pilot, pipeline - passages, run, end, 278722036745888174311493629478757487513, 1784081932.716799, 1, 14, 6200998616167418
1784081932.778569, BG indexer pilot, pipeline - passages, run, start, 267882941363856093480144168161567256052, 1784081932.778523, 1, 15, 6200998616640907
1784081932.778731, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998616807787
1784081932.778885, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998616947739
1784081932.778954, BG indexer pilot, Embed passages, run, start, 6200998617025035
1784081932.809159, BG indexer pilot, Embed passages, run, end, 6200998647233417
1784081932.809587, BG indexer pilot, Chroma indexer, run, start, 6200998647672185
1784081932.833157, BG indexer pilot, Chroma indexer, run, end, 6200998671234013
1784081932.833251, BG indexer pilot, pipeline - passages, run, end, 267882941363856093480144168161567256052, 1784081932.778523, 1, 15, 6200998671332317
1784081932.833746, BG indexer pilot, pipeline - passages, run, start, 123072305235257262330797855144427231040, 1784081932.833624, 1, 16, 6200998671818846
1784081932.833977, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998672048622
1784081932.834101, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998672162606
1784081932.834218, BG indexer pilot, Embed passages, run, start, 6200998672289262
1784081932.866204, BG indexer pilot, Embed passages, run, end, 6200998704291742
1784081932.866606, BG indexer pilot, Chroma indexer, run, start, 6200998704696351
1784081932.891276, BG indexer pilot, Chroma indexer, run, end, 6200998729351876
1784081932.891444, BG indexer pilot, pipeline - passages, run, end, 123072305235257262330797855144427231040, 1784081932.833624, 1, 16, 6200998729522484
1784081932.891711, BG indexer pilot, pipeline - passages, run, start, 325121589094814345361631631563033274909, 1784081932.891662, 1, 17, 6200998729784916
1784081932.891957, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998730032213
1784081932.892094, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998730155957
1784081932.892141, BG indexer pilot, Embed passages, run, start, 6200998730210325
