1784081610.117975, Decode 9B pilot, Mock dataloader, run, end, 6200675956036570
1784081610.118473, Decode 9B pilot, Decode LLM, run, start, 6200675956564443
1784081610.119539, Decode 9B pilot, Decode LLM, first_token, start, 6200675957603484
1784081610.384252, Decode 9B pilot, Decode LLM, first_token, end, 6200676222394739
1784081625.266923, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200691105024526
1784081625.267329, Decode 9B pilot, Decode LLM, run, end, 6200691105393727
1784081625.267590, Decode 9B pilot, pipeline - train, run, end, 99196653317644261635788168100856599876, 1784081610.117012, 3, 2, 6200691105708255
1784081625.268656, Decode 9B pilot, pipeline - train, run, start, 98685198081113458344053892299345422314, 1784081625.268460, 3, 3, 6200691106749264
1784081625.269042, Decode 9B pilot, Mock dataloader, run, start, 6200691107111281
1784081625.269161, Decode 9B pilot, Mock dataloader, run, end, 6200691107222993
1784081625.270063, Decode 9B pilot, Decode LLM, run, start, 6200691108149666
1784081625.271924, Decode 9B pilot, Decode LLM, first_token, start, 6200691110023028
1784081625.546168, Decode 9B pilot, Decode LLM, first_token, end, 6200691384299020
1784081640.486024, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200706324113337
1784081640.486886, Decode 9B pilot, Decode LLM, run, end, 6200706324963258
1784081640.487258, Decode 9B pilot, pipeline - train, run, end, 98685198081113458344053892299345422314, 1784081625.268460, 3, 3, 6200706325333067
1784081640.488263, Decode 9B pilot, pipeline - train, run, start, 186423572379585601549297447344004435446, 1784081640.487643, 4, 1, 6200706326357820
1784081640.488697, Decode 9B pilot, Mock dataloader, run, start, 6200706326766797
1784081640.488820, Decode 9B pilot, Mock dataloader, run, end, 6200706326881501
1784081640.489444, Decode 9B pilot, Decode LLM, run, start, 6200706327531502
1784081640.490821, Decode 9B pilot, Decode LLM, first_token, start, 6200706328887471
1784081640.776689, Decode 9B pilot, Decode LLM, first_token, end, 6200706614812553
1784081655.897476, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200721735563746
1784081655.897866, Decode 9B pilot, Decode LLM, run, end, 6200721735932482
1784081655.898012, Decode 9B pilot, pipeline - train, run, end, 186423572379585601549297447344004435446, 1784081640.487643, 4, 1, 6200721736096915
1784081655.898550, Decode 9B pilot, pipeline - train, run, start, 275524108684644548998622803337402832822, 1784081655.898382, 4, 2, 6200721736642643
1784081655.898906, Decode 9B pilot, Mock dataloader, run, start, 6200721736975220
1784081655.899027, Decode 9B pilot, Mock dataloader, run, end, 6200721737088308
1784081655.899182, Decode 9B pilot, Decode LLM, run, start, 6200721737263044
1784081655.900292, Decode 9B pilot, Decode LLM, first_token, start, 6200721738367878
1784081656.175441, Decode 9B pilot, Decode LLM, first_token, end, 6200722013610662
1784081671.317474, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200737155563195
1784081671.318380, Decode 9B pilot, Decode LLM, run, end, 6200737156457292
1784081671.318546, Decode 9B pilot, pipeline - train, run, end, 275524108684644548998622803337402832822, 1784081655.898382, 4, 2, 6200737156632044
1784081671.319105, Decode 9B pilot, pipeline - train, run, start, 310835215267901834323568427568413938732, 1784081671.318913, 4, 3, 6200737157196077
1784081671.319512, Decode 9B pilot, Mock dataloader, run, start, 6200737157581309
1784081671.319626, Decode 9B pilot, Mock dataloader, run, end, 6200737157687773
1784081671.319763, Decode 9B pilot, Decode LLM, run, start, 6200737157841854
1784081671.320790, Decode 9B pilot, Decode LLM, first_token, start, 6200737158855295
1784081671.587043, Decode 9B pilot, Decode LLM, first_token, end, 6200737425219368
1784081686.799484, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200752637574384
1784081686.799900, Decode 9B pilot, Decode LLM, run, end, 6200752637965489
1784081686.800084, Decode 9B pilot, pipeline - train, run, end, 310835215267901834323568427568413938732, 1784081671.318913, 4, 3, 6200752638188065
1784081686.800705, Decode 9B pilot, pipeline - train, run, start, 147010465968287705457312072468517250562, 1784081686.800552, 5, 1, 6200752638795090
1784081686.800965, Decode 9B pilot, Mock dataloader, run, start, 6200752639030978
1784081686.801048, Decode 9B pilot, Mock dataloader, run, end, 6200752639109122
1784081686.801095, Decode 9B pilot, Decode LLM, run, start, 6200752639160482
1784081686.802089, Decode 9B pilot, Decode LLM, first_token, start, 6200752640168468
1784081687.077109, Decode 9B pilot, Decode LLM, first_token, end, 6200752915241500
