1784081773.675483, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839513545218
1784081773.675515, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839513581282
1784081773.676149, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839514211267
1784081773.676184, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839514250595
1784081773.679071, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839517135127
1784081773.679126, ResNet50-v1.5 inference, pipeline - val, run, end, 79292082030967059641983136416224919798, 1784081773.674616, 1, 7, 6200839517201527
1784081773.679446, ResNet50-v1.5 inference, pipeline - val, run, start, 36783037044231712194901098271346306219, 1784081773.679404, 1, 8, 6200839517517080
1784081773.679591, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839517656712
1784081773.687051, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839525129090
1784081773.687199, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839525303554
1784081773.689417, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839527483653
1784081773.689473, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839527546805
1784081773.692907, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839530970890
1784081773.692984, ResNet50-v1.5 inference, pipeline - val, run, end, 36783037044231712194901098271346306219, 1784081773.679404, 1, 8, 6200839531070138
1784081773.693403, ResNet50-v1.5 inference, pipeline - val, run, start, 82011650795374992213186996319959474906, 1784081773.693353, 1, 9, 6200839531477675
1784081773.693571, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839531637499
1784081773.694747, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839532810589
1784081773.694835, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839532918221
1784081773.695800, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839533864078
1784081773.695873, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839533940670
1784081773.698883, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839536946306
1784081773.698977, ResNet50-v1.5 inference, pipeline - val, run, end, 82011650795374992213186996319959474906, 1784081773.693353, 1, 9, 6200839537060819
1784081773.699472, ResNet50-v1.5 inference, pipeline - val, run, start, 171377275157830856397923553734112263184, 1784081773.699311, 1, 10, 6200839537554755
1784081773.699689, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839537754436
1784081773.700782, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839538844101
1784081773.700862, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839538950213
1784081773.701847, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839539911399
1784081773.701921, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839539987831
1784081773.705381, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839543444731
1784081773.705444, ResNet50-v1.5 inference, pipeline - val, run, end, 171377275157830856397923553734112263184, 1784081773.699311, 1, 10, 6200839543526284
1784081773.705808, ResNet50-v1.5 inference, pipeline - val, run, start, 50770493406231807131397159718184654804, 1784081773.705761, 1, 11, 6200839543877260
1784081773.705935, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839544003644
1784081773.707515, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839545577022
1784081773.707579, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839545657119
1784081773.708736, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839546800768
1784081773.708809, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839546877552
1784081773.711649, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839549712452
1784081773.711696, ResNet50-v1.5 inference, pipeline - val, run, end, 50770493406231807131397159718184654804, 1784081773.705761, 1, 11, 6200839549771684
1784081773.712081, ResNet50-v1.5 inference, pipeline - val, run, start, 262111856579712907359119753999583006457, 1784081773.712023, 1, 12, 6200839550152421
1784081773.712232, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839550297109
1784081773.712830, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839550892614
1784081773.712863, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839550932854
