1783998726.864087, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 127389750053238923721403305202822029945, 1783998726.182333, 1, 6, 90596284801333
1783998726.864429, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 159335374051240944935683788952256016577, 1783998726.864383, 1, 7, 90596285139583
1783998726.864606, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90596285315125
1783998726.922956, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90596343672208
1783998726.923014, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90596343723208
1783998726.968091, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90596388808500
1783998726.969445, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90596390149291
1783998727.555269, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90596976044291
1783998727.555465, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 159335374051240944935683788952256016577, 1783998726.864383, 1, 7, 90596976192333
1783998727.556149, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 127785287769904207627043659929799910385, 1783998727.556071, 1, 8, 90596976871250
1783998727.556410, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90596977130166
1783998727.605961, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90597026683500
1783998727.606047, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90597026757708
1783998727.655418, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90597076135125
1783998727.656686, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90597077404541
1783998728.229616, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90597650337375
1783998728.229685, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 127785287769904207627043659929799910385, 1783998727.556071, 1, 8, 90597650395291
1783998728.229850, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 118175981587193771145314697961757315256, 1783998728.229826, 1, 9, 90597650557041
1783998728.229924, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90597650634666
1783998728.275191, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90597695910166
1783998728.275251, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90597695960625
1783998728.327463, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90597748182750
1783998728.328653, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90597749363125
1783998728.894623, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90598315345083
1783998728.894684, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 118175981587193771145314697961757315256, 1783998728.229826, 1, 9, 90598315394583
1783998728.894861, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 54629183015318113005681638677703003965, 1783998728.894837, 1, 10, 90598315569041
1783998728.894949, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90598315658083
1783998728.937748, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90598358467291
1783998728.937808, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90598358517375
1783998728.988996, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90598409720166
1783998728.990242, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90598410951916
1783998729.572100, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90598992868875
1783998729.572292, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 54629183015318113005681638677703003965, 1783998728.894837, 1, 10, 90598993013625
1783998729.572613, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 19673989042731595023765524838099430186, 1783998729.572564, 1, 11, 90598993340041
1783998729.572819, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90598993528833
1783998729.664845, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90599085567791
1783998729.664924, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90599085642375
1783998729.751442, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90599172164333
1783998729.760262, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90599180980416
1783998730.331362, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90599752089708
1783998730.331429, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 19673989042731595023765524838099430186, 1783998729.572564, 1, 11, 90599752141666
1783998730.331605, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 301261425308814380562174360816793837572, 1783998730.331574, 1, 12, 90599752315333
1783998730.331695, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90599752406500
1783998730.369648, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90599790373291
1783998730.369710, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90599790420750
1783998730.431387, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90599852110666
1783998730.432853, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90599853566750
1783998731.011370, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90600432095916
1783998731.011446, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 301261425308814380562174360816793837572, 1783998730.331574, 1, 12, 90600432162875
1783998731.011639, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 299921935304357908525279037393879634812, 1783998731.011607, 1, 13, 90600432350625
1783998731.011748, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90600432459458
1783998731.052652, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90600473375583
1783998731.052714, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90600473427333
1783998731.103367, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90600524091166
1783998731.104915, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90600525628166
1783998731.676243, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90601096977125
1783998731.676344, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 299921935304357908525279037393879634812, 1783998731.011607, 1, 13, 90601097070125
1783998731.676866, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 173531540075607463795693411891607037902, 1783998731.676743, 1, 14, 90601097670541
1783998731.677333, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90601098058708
1783998731.731733, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90601152457500
1783998731.731798, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90601152512125
1783998731.777988, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90601198712291
1783998731.779361, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90601200075750
1783998732.351171, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90601771901791
1783998732.351242, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 173531540075607463795693411891607037902, 1783998731.676743, 1, 14, 90601771961333
1783998732.351549, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 219797694660313273666900841102085465910, 1783998732.351513, 1, 15, 90601772264666
1783998732.351667, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90601772389666
1783998732.410363, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90601831091083
1783998732.410428, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90601831143958
1783998732.465943, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90601886675250
1783998732.467488, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90601888204708
1783998733.049713, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90602470441958
1783998733.049789, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 219797694660313273666900841102085465910, 1783998732.351513, 1, 15, 90602470508166
1783998733.049996, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 109012551444944077813593197745823041534, 1783998733.049967, 1, 16, 90602470711458
1783998733.050078, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90602470794041
