1783998831.774370, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701195246875
1783998831.775026, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701195908458
1783998831.775077, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701195953833
1783998831.785939, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701206828458
1783998831.786009, ResNet50-v1.5 inference, pipeline - val, run, end, 200856145300419890868153532897106736356, 1783998831.773779, 1, 7, 90701206890208
1783998831.786219, ResNet50-v1.5 inference, pipeline - val, run, start, 129710352893319314607360798387292956251, 1783998831.786199, 1, 8, 90701207098041
1783998831.786288, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701207165083
1783998831.786913, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701207795041
1783998831.786951, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701207829833
1783998831.787726, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701208605500
1783998831.787764, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701208641416
1783998831.798427, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701219316291
1783998831.798481, ResNet50-v1.5 inference, pipeline - val, run, end, 129710352893319314607360798387292956251, 1783998831.786199, 1, 8, 90701219360291
1783998831.798628, ResNet50-v1.5 inference, pipeline - val, run, start, 14970150080148816149943549101937883719, 1783998831.798605, 1, 9, 90701219505708
1783998831.798698, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701219577208
1783998831.799333, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701220213250
1783998831.799366, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701220244041
1783998831.800096, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701220973958
1783998831.800147, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701221024166
1783998831.811167, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701232057208
1783998831.811227, ResNet50-v1.5 inference, pipeline - val, run, end, 14970150080148816149943549101937883719, 1783998831.798605, 1, 9, 90701232107375
1783998831.811383, ResNet50-v1.5 inference, pipeline - val, run, start, 281480478312505238096953338388520206022, 1783998831.811364, 1, 10, 90701232262375
1783998831.811445, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701232323166
1783998831.817474, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701238363250
1783998831.817525, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701238403583
1783998831.819455, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701240339958
1783998831.819522, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701240398916
1783998831.830377, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701251270250
1783998831.830441, ResNet50-v1.5 inference, pipeline - val, run, end, 281480478312505238096953338388520206022, 1783998831.811364, 1, 10, 90701251320000
1783998831.830585, ResNet50-v1.5 inference, pipeline - val, run, start, 319033914988899274487315791245108186491, 1783998831.830566, 1, 11, 90701251462958
1783998831.830646, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701251524333
1783998831.831109, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701251989291
1783998831.831145, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701252027458
1783998831.831711, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701252589833
1783998831.831745, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701252622208
1783998831.841645, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701262525708
1783998831.841680, ResNet50-v1.5 inference, pipeline - val, run, end, 319033914988899274487315791245108186491, 1783998831.830566, 1, 11, 90701262558666
1783998831.841808, ResNet50-v1.5 inference, pipeline - val, run, start, 304266392332699550539047100976439765409, 1783998831.841788, 1, 12, 90701262686000
1783998831.841862, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701262739666
1783998831.842445, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701263322916
