cell,stage,B,kind,level_pct,run,pipeline,role,scheduler,n_queries,n_completed,n_used,span_s,anchor,match_frac,blocked_puts,p50_resp_s,p95_resp_s,mean_resp_s,throughput_qps,offered_qps,realized_qps,offered_bytes_ps,realized_bytes_ps,gen_dur_s_med,tok_per_s_med,per_token_s_med,ttft_s_med,amc_cpu_gbps,amc_gpu_gbps,amc_ane_gbps,amc_other_gbps,amc_total_gbps,notes
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,407.3,intended,1,0,2.073,4.054,2.302,0.2455,0.2243,,,,,,,,2.229,7.003,0.01928,0.3804,9.619,
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,750,217.2,,nan,nan,,,,4.604,4.604,4.604,nan,nan,,,,,7.032,16.89,0.02966,0.3929,24.33,no model-based traffic estimate (use counters); 
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,442,intended,1,2,2.6,4.768,2.91,0.2262,0.2243,,,,,,,,2.635,11.1,0.01971,0.3852,14.13,
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,747,110.2,,nan,nan,,,,9.041,9.208,9.041,nan,nan,,,,,12.18,25.01,0.06148,0.3823,37.59,no model-based traffic estimate (use counters); 
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,432.4,intended,1,0,2.462,3.731,2.585,0.2313,0.2243,,,,,,,,2.942,10.3,0.01383,0.4227,13.66,
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,392.8,intended,1,2,2.481,5.256,2.893,0.2546,0.2243,,,,,,,,2.941,13.33,0.04139,0.3803,16.67,
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,791,77.86,,nan,nan,,,,13.55,13.81,13.55,nan,nan,,,,,4.386,36.02,0.05892,0.3987,40.76,no model-based traffic estimate (use counters); 
stage_c_stream_L100_mlx,c,nan,stream,100,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,754,61.72,,nan,nan,,,,16.29,16.81,16.29,5.414e+10,5.247e+10,,,,,87.79,0.2749,0.005183,0.3793,88.45,stream-triad model (exact); 
stage_c_stream_L100_mlx,c,nan,stream,100,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,429,intended,1,1,2.288,4.083,2.516,0.2331,0.2243,,,,,,,,2.269,6.649,0.01224,0.3708,9.298,
stage_c_stream_L25_mlx,c,nan,stream,25,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,750,237.8,,nan,nan,,,,4.205,4.202,4.205,1.354e+10,1.354e+10,,,,,29.24,3.867,0.02271,0.3784,33.5,stream-triad model (exact); 
stage_c_stream_L25_mlx,c,nan,stream,25,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,423.4,intended,1,0,2.035,3.669,2.212,0.2362,0.2243,,,,,,,,8.522,6.849,0.009269,0.3645,15.74,
stage_c_stream_L50_mlx,c,nan,stream,50,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,750,119,,nan,nan,,,,8.406,8.403,8.406,2.707e+10,2.708e+10,,,,,58.71,0.1254,0.1023,0.75,59.65,stream-triad model (exact); 
stage_c_stream_L50_mlx,c,nan,stream,50,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,513.4,intended,1,0,1.983,3.261,2.123,0.1948,0.2243,,,,,,,,1.639,5.389,0.01426,0.5345,7.564,
stage_c_stream_L75_mlx,c,nan,stream,75,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,750,79.34,,nan,nan,,,,12.6,12.61,12.6,4.061e+10,4.06e+10,,,,,71.65,0.02796,0.009557,0.889,72.56,stream-triad model (exact); 
stage_c_stream_L75_mlx,c,nan,stream,75,1,RAG serve plain,fg,PoissonLoadScheduler,100,100,98,556.9,intended,1,0,2.029,3.764,2.23,0.1796,0.2243,,,,,,,,1.608,4.97,0.01568,0.5304,7.111,
stage_d_clipane_L100_mlx,d,nan,clipane,100,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,160.6,submitted,nan,0,10.35,nan,10.54,0.09341,nan,,,,10.35,24.74,0.03544,1.311,2.535,147,6.043,0.8137,156.4,arrivals sidecar owned by 'BG co-runner clipane' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipane_L100_mlx,d,nan,clipane,100,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,759,51.11,,1,nan,,,,19.8,20.04,19.8,nan,nan,,,,,2.896,142.5,18.63,0.7279,164.8,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_clipane_L25_mlx,d,nan,clipane,25,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,158.8,submitted,nan,0,10.6,nan,10.56,0.09449,nan,,,,10.59,24.17,0.03639,1.321,3.186,148.8,2.634,0.8292,155.4,arrivals sidecar owned by 'BG co-runner clipane' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipane_L25_mlx,d,nan,clipane,25,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,750,199.5,,1,nan,,,,5.013,5.01,5.013,nan,nan,,,,,2.099,63.06,4.735,0.634,70.51,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_clipane_L50_mlx,d,nan,clipane,50,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,750,99.77,,1,nan,,,,10.02,10.02,10.02,nan,nan,,,,,2.82,72.62,9.586,0.7042,85.7,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
