cell,stage,B,kind,level_pct,metric,estimate,ci_lo,ci_hi,n_runs,unit,run_values
stage_d_stream_L25_mlx,d,nan,stream,25,amc_ane_gbps,0.01422,nan,nan,1,GB/s,0.01422
stage_d_stream_L25_mlx,d,nan,stream,25,amc_total_gbps,162.2,nan,nan,1,GB/s,162.2
stage_d_stream_L50_mlx,d,nan,stream,50,fg_p50_resp_s,12.98,11.96,13.01,1,s,12.98
stage_d_stream_L50_mlx,d,nan,stream,50,fg_throughput_qps,0.08265,nan,nan,1,1/s,0.08265
stage_d_stream_L50_mlx,d,nan,stream,50,fg_tok_per_s,19.73,19.69,21.47,1,tok/s,19.73
stage_d_stream_L50_mlx,d,nan,stream,50,fg_per_token_s,0.04568,0.04169,0.0458,1,s,0.04568
stage_d_stream_L50_mlx,d,nan,stream,50,fg_ttft_s,1.326,1.32,1.328,1,s,1.326
stage_d_stream_L50_mlx,d,nan,stream,50,bg_realized_qps,8.414,nan,nan,1,1/s,8.414
stage_d_stream_L50_mlx,d,nan,stream,50,bg_realized_bytes_ps,2.71e+10,nan,nan,1,B/s,2.71e+10
stage_d_stream_L50_mlx,d,nan,stream,50,amc_cpu_gbps,32.1,nan,nan,1,GB/s,32.1
stage_d_stream_L50_mlx,d,nan,stream,50,amc_gpu_gbps,131.3,nan,nan,1,GB/s,131.3
stage_d_stream_L50_mlx,d,nan,stream,50,amc_ane_gbps,0.03015,nan,nan,1,GB/s,0.03015
stage_d_stream_L50_mlx,d,nan,stream,50,amc_total_gbps,164.2,nan,nan,1,GB/s,164.2
stage_d_stream_L75_mlx,d,nan,stream,75,fg_p50_resp_s,10.35,10.25,12.68,1,s,10.35
stage_d_stream_L75_mlx,d,nan,stream,75,fg_throughput_qps,0.08575,nan,nan,1,1/s,0.08575
stage_d_stream_L75_mlx,d,nan,stream,75,fg_tok_per_s,24.75,20.23,24.98,1,tok/s,24.75
stage_d_stream_L75_mlx,d,nan,stream,75,fg_per_token_s,0.03543,0.03515,0.04445,1,s,0.03543
stage_d_stream_L75_mlx,d,nan,stream,75,fg_ttft_s,1.311,1.289,1.329,1,s,1.311
stage_d_stream_L75_mlx,d,nan,stream,75,bg_realized_qps,9.611,nan,nan,1,1/s,9.611
stage_d_stream_L75_mlx,d,nan,stream,75,bg_realized_bytes_ps,3.096e+10,nan,nan,1,B/s,3.096e+10
stage_d_stream_L75_mlx,d,nan,stream,75,amc_cpu_gbps,27.97,nan,nan,1,GB/s,27.97
stage_d_stream_L75_mlx,d,nan,stream,75,amc_gpu_gbps,136.1,nan,nan,1,GB/s,136.1
stage_d_stream_L75_mlx,d,nan,stream,75,amc_ane_gbps,0.01032,nan,nan,1,GB/s,0.01032
stage_d_stream_L75_mlx,d,nan,stream,75,amc_total_gbps,165,nan,nan,1,GB/s,165
stage_c[clipane],c,nan,clipane,nan,norm_slope[p50_resp_s],9.301e-11,9.301e-11,9.301e-11,5,frac per bytes/s (AMC counter),
stage_c[clipgpu],c,nan,clipgpu,nan,norm_slope[p50_resp_s],4.083e-11,4.083e-11,4.083e-11,5,frac per bytes/s (AMC counter),
stage_c[stream],c,nan,stream,nan,norm_slope[p50_resp_s],-1.857e-12,-1.857e-12,-1.857e-12,5,frac per bytes/s (AMC counter),
stage_c[clipane/clipgpu],c,nan,clipane/clipgpu,nan,norm_slope_ratio,2.278,2.278,2.278,nan,bytes/s (AMC counter),NOT EVALUABLE (degenerate zero-width CI — need R>=2 replicate runs)
stage_c[clipane/stream],c,nan,clipane/stream,nan,norm_slope_ratio,-50.08,-50.08,-50.08,nan,bytes/s (AMC counter),NOT EVALUABLE (degenerate zero-width CI — need R>=2 replicate runs)
stage_c[clipgpu/stream],c,nan,clipgpu/stream,nan,norm_slope_ratio,-21.99,-21.99,-21.99,nan,bytes/s (AMC counter),NOT EVALUABLE (degenerate zero-width CI — need R>=2 replicate runs)
stage_d[clipane],d,nan,clipane,nan,norm_slope[tok_per_s_med],4.176e-12,4.176e-12,4.176e-12,4,frac per bytes/s (AMC counter),
stage_d[clipgpu],d,nan,clipgpu,nan,norm_slope[tok_per_s_med],-7.251e-12,-7.251e-12,-7.251e-12,2,frac per bytes/s (AMC counter),
stage_d[stream],d,nan,stream,nan,norm_slope[tok_per_s_med],-1.15e-11,-1.15e-11,-1.15e-11,2,frac per bytes/s (AMC counter),
stage_d[clipane/clipgpu],d,nan,clipane/clipgpu,nan,norm_slope_ratio,-0.5759,-0.5759,-0.5759,nan,bytes/s (AMC counter),NOT EVALUABLE (degenerate zero-width CI — need R>=2 replicate runs)
stage_d[clipane/stream],d,nan,clipane/stream,nan,norm_slope_ratio,-0.363,-0.363,-0.363,nan,bytes/s (AMC counter),NOT EVALUABLE (degenerate zero-width CI — need R>=2 replicate runs)
stage_d[clipgpu/stream],d,nan,clipgpu/stream,nan,norm_slope_ratio,0.6303,0.6303,0.6303,nan,bytes/s (AMC counter),NOT EVALUABLE (degenerate zero-width CI — need R>=2 replicate runs)
