cell,stage,B,kind,level_pct,metric,estimate,ci_lo,ci_hi,n_runs,unit,run_values
stage_c_clipane_L25_mlx,c,nan,clipane,25,bg_realized_qps,5.013,nan,nan,1,1/s,5.013
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_cpu_gbps,3.166,nan,nan,1,GB/s,3.166
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_gpu_gbps,6.048,nan,nan,1,GB/s,6.048
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_ane_gbps,0.9107,nan,nan,1,GB/s,0.9107
stage_c_clipane_L25_mlx,c,nan,clipane,25,amc_total_gbps,10.6,nan,nan,1,GB/s,10.6
stage_c_clipane_L50_mlx,c,nan,clipane,50,fg_p50_resp_s,2.462,2.372,2.635,1,s,2.462
stage_c_clipane_L50_mlx,c,nan,clipane,50,fg_throughput_qps,0.289,nan,nan,1,1/s,0.289
stage_c_clipane_L50_mlx,c,nan,clipane,50,bg_realized_qps,10.02,nan,nan,1,1/s,10.02
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_cpu_gbps,2.709,nan,nan,1,GB/s,2.709
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_gpu_gbps,8.199,nan,nan,1,GB/s,8.199
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_ane_gbps,1.879,nan,nan,1,GB/s,1.879
stage_c_clipane_L50_mlx,c,nan,clipane,50,amc_total_gbps,13.15,nan,nan,1,GB/s,13.15
stage_c_clipane_L75_mlx,c,nan,clipane,75,fg_p50_resp_s,2.064,2.005,2.246,1,s,2.064
stage_c_clipane_L75_mlx,c,nan,clipane,75,fg_throughput_qps,0.2208,nan,nan,1,1/s,0.2208
stage_c_clipane_L75_mlx,c,nan,clipane,75,bg_realized_qps,15.03,nan,nan,1,1/s,15.03
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_cpu_gbps,2.083,nan,nan,1,GB/s,2.083
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_gpu_gbps,6.318,nan,nan,1,GB/s,6.318
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_ane_gbps,0.009245,nan,nan,1,GB/s,0.009245
stage_c_clipane_L75_mlx,c,nan,clipane,75,amc_total_gbps,8.779,nan,nan,1,GB/s,8.779
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,fg_p50_resp_s,2.073,1.873,2.199,1,s,2.073
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,fg_throughput_qps,0.2455,nan,nan,1,1/s,0.2455
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,bg_realized_qps,18.54,nan,nan,1,1/s,18.54
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,amc_cpu_gbps,2.229,nan,nan,1,GB/s,2.229
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,amc_gpu_gbps,7.003,nan,nan,1,GB/s,7.003
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,amc_ane_gbps,0.01928,nan,nan,1,GB/s,0.01928
stage_c_clipgpu_L100_mlx,c,nan,clipgpu,100,amc_total_gbps,9.619,nan,nan,1,GB/s,9.619
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,fg_p50_resp_s,2.6,2.505,2.737,1,s,2.6
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,fg_throughput_qps,0.2262,nan,nan,1,1/s,0.2262
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,bg_realized_qps,4.604,nan,nan,1,1/s,4.604
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,amc_cpu_gbps,2.635,nan,nan,1,GB/s,2.635
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,amc_gpu_gbps,11.1,nan,nan,1,GB/s,11.1
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,amc_ane_gbps,0.01971,nan,nan,1,GB/s,0.01971
stage_c_clipgpu_L25_mlx,c,nan,clipgpu,25,amc_total_gbps,14.13,nan,nan,1,GB/s,14.13
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,fg_p50_resp_s,2.462,2.344,2.575,1,s,2.462
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,fg_throughput_qps,0.2313,nan,nan,1,1/s,0.2313
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,bg_realized_qps,9.041,nan,nan,1,1/s,9.041
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,amc_cpu_gbps,2.942,nan,nan,1,GB/s,2.942
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,amc_gpu_gbps,10.3,nan,nan,1,GB/s,10.3
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,amc_ane_gbps,0.01383,nan,nan,1,GB/s,0.01383
stage_c_clipgpu_L50_mlx,c,nan,clipgpu,50,amc_total_gbps,13.66,nan,nan,1,GB/s,13.66
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,fg_p50_resp_s,2.481,2.373,2.744,1,s,2.481
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,fg_throughput_qps,0.2546,nan,nan,1,1/s,0.2546
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,bg_realized_qps,13.55,nan,nan,1,1/s,13.55
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,amc_cpu_gbps,2.941,nan,nan,1,GB/s,2.941
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,amc_gpu_gbps,13.33,nan,nan,1,GB/s,13.33
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,amc_ane_gbps,0.04139,nan,nan,1,GB/s,0.04139
stage_c_clipgpu_L75_mlx,c,nan,clipgpu,75,amc_total_gbps,16.67,nan,nan,1,GB/s,16.67
stage_c_stream_L100_mlx,c,nan,stream,100,fg_p50_resp_s,2.288,2.216,2.432,1,s,2.288
stage_c_stream_L100_mlx,c,nan,stream,100,fg_throughput_qps,0.2331,nan,nan,1,1/s,0.2331
stage_c_stream_L100_mlx,c,nan,stream,100,bg_realized_qps,16.29,nan,nan,1,1/s,16.29
stage_c_stream_L100_mlx,c,nan,stream,100,bg_realized_bytes_ps,5.247e+10,nan,nan,1,B/s,5.247e+10
stage_c_stream_L100_mlx,c,nan,stream,100,amc_cpu_gbps,2.269,nan,nan,1,GB/s,2.269
stage_c_stream_L100_mlx,c,nan,stream,100,amc_gpu_gbps,6.649,nan,nan,1,GB/s,6.649
