1782435934.263469, baseline_finetune, training_step, run, end, 4555000101565048
1782435934.287997, baseline_finetune, training_step, run, start, 4555000126088201
1782435934.326430, baseline_finetune, training_step, run, end, 4555000164525950
1782435934.363860, baseline_finetune, training_step, run, start, 4555000201947297
1782435934.401844, baseline_finetune, training_step, run, end, 4555000239945077
1782435934.427653, baseline_finetune, training_step, run, start, 4555000265730937
1782435934.465772, baseline_finetune, training_step, run, end, 4555000303874302
1782435934.492755, baseline_finetune, training_step, run, start, 4555000330835429
1782435934.531490, baseline_finetune, training_step, run, end, 4555000369570619
1782435934.554150, baseline_finetune, training_step, run, start, 4555000392226519
1782435934.592746, baseline_finetune, training_step, run, end, 4555000430824780
1782435934.618247, baseline_finetune, training_step, run, start, 4555000456323440
1782435934.657841, baseline_finetune, training_step, run, end, 4555000495936456
1782435934.683749, baseline_finetune, training_step, run, start, 4555000521843468
1782435934.724261, baseline_finetune, training_step, run, end, 4555000562351415
1782435934.748996, baseline_finetune, training_step, run, start, 4555000587083848
1782435934.787583, baseline_finetune, training_step, run, end, 4555000625680526
1782435934.813313, baseline_finetune, training_step, run, start, 4555000651405970
1782435934.852642, baseline_finetune, training_step, run, end, 4555000690738298
1782435934.877196, baseline_finetune, training_step, run, start, 4555000715285755
1782435934.915936, baseline_finetune, training_step, run, end, 4555000754038945
1782435934.938343, baseline_finetune, training_step, run, start, 4555000776434428
1782435934.977517, baseline_finetune, training_step, run, end, 4555000815606403
1782435935.001633, baseline_finetune, training_step, run, start, 4555000839724883
1782435935.039929, baseline_finetune, training_step, run, end, 4555000878036536
1782435935.064390, baseline_finetune, training_step, run, start, 4555000902480696
1782435935.103070, baseline_finetune, training_step, run, end, 4555000941160334
1782435935.126949, baseline_finetune, training_step, run, start, 4555000965042733
1782435935.165820, baseline_finetune, training_step, run, end, 4555001003910659
1782435935.188702, baseline_finetune, training_step, run, start, 4555001026793456
1782435935.227152, baseline_finetune, training_step, run, end, 4555001065249205
1782435935.255250, baseline_finetune, training_step, run, start, 4555001093343647
1782435935.292498, baseline_finetune, training_step, run, end, 4555001130594961
1782435935.314476, baseline_finetune, training_step, run, start, 4555001152568570
1782435935.352533, baseline_finetune, training_step, run, end, 4555001190623311
1782435935.379223, baseline_finetune, training_step, run, start, 4555001217317317
1782435935.417689, baseline_finetune, training_step, run, end, 4555001255785690
1782435935.455601, baseline_finetune, training_step, run, start, 4555001293695502
1782435935.494851, baseline_finetune, training_step, run, end, 4555001332946741
1782435935.519083, baseline_finetune, training_step, run, start, 4555001357177269
1782435935.558423, baseline_finetune, training_step, run, end, 4555001396547773
1782435935.584756, baseline_finetune, training_step, run, start, 4555001422851042
1782435935.622505, baseline_finetune, training_step, run, end, 4555001460594309
1782435935.646752, baseline_finetune, training_step, run, start, 4555001484843893
1782435935.684023, baseline_finetune, training_step, run, end, 4555001522115127
1782435935.708948, baseline_finetune, training_step, run, start, 4555001547040057
1782435935.746150, baseline_finetune, training_step, run, end, 4555001584244347
1782435935.772972, baseline_finetune, training_step, run, start, 4555001611061969
1782435935.811253, baseline_finetune, training_step, run, end, 4555001649344054
1782435935.833841, baseline_finetune, training_step, run, start, 4555001671930673
1782435935.871515, baseline_finetune, training_step, run, end, 4555001709610469
1782435935.904282, baseline_finetune, training_step, run, start, 4555001742369563
1782435935.943520, baseline_finetune, training_step, run, end, 4555001781616642
1782435935.967805, baseline_finetune, training_step, run, start, 4555001805890226
1782435936.005765, baseline_finetune, training_step, run, end, 4555001843849350
1782435936.029348, baseline_finetune, training_step, run, start, 4555001867428740
1782435936.068328, baseline_finetune, training_step, run, end, 4555001906440954
1782435936.094061, baseline_finetune, training_step, run, start, 4555001932148110
1782435936.132967, baseline_finetune, training_step, run, end, 4555001971073540
1782435936.160667, baseline_finetune, training_step, run, start, 4555001998748093
1782435936.199969, baseline_finetune, training_step, run, end, 4555002038062292
1782435936.225507, baseline_finetune, training_step, run, start, 4555002063590295
1782435936.263849, baseline_finetune, training_step, run, end, 4555002101934092
1782435936.287763, baseline_finetune, training_step, run, start, 4555002125842971
1782435936.325685, baseline_finetune, training_step, run, end, 4555002163765326
1782435936.351114, baseline_finetune, training_step, run, start, 4555002189196849
1782435936.389911, baseline_finetune, training_step, run, end, 4555002228047943
1782435936.412753, baseline_finetune, training_step, run, start, 4555002250837379
1782435936.452082, baseline_finetune, training_step, run, end, 4555002290178155
1782435936.476437, baseline_finetune, training_step, run, start, 4555002314519451
1782435936.515580, baseline_finetune, training_step, run, end, 4555002353705346
1782435936.540009, baseline_finetune, training_step, run, start, 4555002378090162
1782435936.578232, baseline_finetune, training_step, run, end, 4555002416312678
1782435936.619461, baseline_finetune, training_step, run, start, 4555002457556482
1782435936.660408, baseline_finetune, training_step, run, end, 4555002498488206
1782435936.685164, baseline_finetune, training_step, run, start, 4555002523245151
1782435936.723147, baseline_finetune, training_step, run, end, 4555002561269107
1782435936.747263, baseline_finetune, training_step, run, start, 4555002585341058
1782435936.784663, baseline_finetune, training_step, run, end, 4555002622761892
1782435936.807398, baseline_finetune, training_step, run, start, 4555002645481296
1782435936.845682, baseline_finetune, training_step, run, end, 4555002683783108
1782435936.886957, baseline_finetune, training_step, run, start, 4555002725043089
1782435936.925330, baseline_finetune, training_step, run, end, 4555002763426070
1782435936.949028, baseline_finetune, training_step, run, start, 4555002787118644
1782435936.987571, baseline_finetune, training_step, run, end, 4555002825664265
1782435937.006710, baseline_finetune, training_step, run, start, 4555002844800459
1782435937.045619, baseline_finetune, training_step, run, end, 4555002883714337
1782435937.066664, baseline_finetune, training_step, run, start, 4555002904755544
1782435937.105968, baseline_finetune, training_step, run, end, 4555002944090704
1782435937.130200, baseline_finetune, training_step, run, start, 4555002968291503
