1782444476.548565, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078549353250
1782444476.548593, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078549384083
1782444476.548689, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078549476333
1782444476.548702, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078549492833
1782444476.548765, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078549557000
1782444476.548783, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078549569416
1782444476.548839, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078549625458
1782444476.548852, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078549638958
1782444476.548906, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078549692791
1782444476.548922, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 182079405269340761654593867238030187749, 1782444476.547983, 3, 1, 135078549708750
1782444476.549027, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 108004768075953943301967764179832012072, 1782444476.549004, 4, 1, 135078549814625
1782444476.549071, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078549858250
1782444476.549105, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078549892041
1782444476.549123, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078549910500
1782444476.549181, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078549967708
1782444476.549194, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078549981333
1782444476.549247, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078550033541
1782444476.549260, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078550046416
1782444476.549320, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078550107083
1782444476.549349, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078550141041
1782444476.549392, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078550179416
1782444476.549416, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078550203791
1782444476.549479, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078550266000
1782444476.549506, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078550293125
1782444476.549540, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078550326708
1782444476.549568, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078550355666
1782444476.549611, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078550397916
1782444476.549640, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078550427208
1782444476.549674, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078550461541
1782444476.549703, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078550489750
1782444476.549739, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078550525416
1782444476.549753, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 108004768075953943301967764179832012072, 1782444476.549004, 4, 1, 135078550540333
1782444476.549853, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 289719387448455415149597040363744839923, 1782444476.549833, 5, 1, 135078550641500
1782444476.549901, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078550688625
1782444476.549943, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078550730916
1782444476.549974, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078550761458
1782444476.550013, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078550799625
1782444476.550043, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078550830416
1782444476.550086, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078550873041
1782444476.550112, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078550898875
1782444476.550160, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078550948208
1782444476.550194, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078550980875
1782444476.550228, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078551014916
1782444476.550255, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078551042041
1782444476.550289, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078551076458
1782444476.550319, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078551106000
1782444476.550352, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078551139333
1782444476.550381, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078551167833
1782444476.550414, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078551201250
1782444476.550431, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078551218708
1782444476.550491, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078551278958
1782444476.550522, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078551309000
1782444476.550558, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078551345708
1782444476.550588, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 289719387448455415149597040363744839923, 1782444476.549833, 5, 1, 135078551375541
1782444476.550652, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 160681301085416508103962416366982211381, 1782444476.550639, 6, 1, 135078551439166
1782444476.550691, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078551477875
1782444476.550729, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078551516125
1782444476.550757, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078551544541
1782444476.550792, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078551579041
1782444476.550822, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078551609416
1782444476.550867, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078551653916
1782444476.550893, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078551680541
1782444476.550928, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078551714625
1782444476.550956, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078551742916
1782444476.550991, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078551777916
1782444476.551031, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078551821333
1782444476.551093, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078551881583
1782444476.551130, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078551918875
1782444476.551170, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078551956916
1782444476.551200, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078551987041
1782444476.551315, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078552102500
1782444476.551339, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078552126208
1782444476.551412, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078552199833
1782444476.551427, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078552214708
1782444476.551483, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078552269791
1782444476.551497, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 160681301085416508103962416366982211381, 1782444476.550639, 6, 1, 135078552283875
1782444476.551588, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 10594244080397234636727429378930685826, 1782444476.551572, 7, 1, 135078552374666
1782444476.551624, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078552411583
1782444476.551692, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078552484958
1782444476.551732, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078552523666
1782444476.551817, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078552604166
1782444476.551831, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078552618875
1782444476.551887, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078552674375
1782444476.551901, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078552687916
1782444476.551970, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078552757458
1782444476.551986, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078552773166
1782444476.552043, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078552829291
1782444476.552056, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078552842416
1782444476.552113, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078552900208
1782444476.552127, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078552914208
1782444476.552184, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078552970708
1782444476.552197, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078552984083
1782444476.552250, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078553036541
1782444476.552263, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078553050000
1782444476.552316, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078553102875
1782444476.552329, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078553116125
1782444476.552383, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078553169375
1782444476.552395, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 10594244080397234636727429378930685826, 1782444476.551572, 7, 1, 135078553182166
1782444476.552478, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 70908389105952549202206099066837174149, 1782444476.552463, 8, 1, 135078553265458
1782444476.552522, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078553309125
1782444476.552562, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078553348833
1782444476.552576, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078553363166
1782444476.552633, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078553419833
1782444476.552647, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078553433500
1782444476.552702, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078553488875
1782444476.552732, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078553518875
1782444476.552773, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078553559541
1782444476.552787, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078553573583
1782444476.552854, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078553640625
1782444476.552867, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078553654500
1782444476.552923, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078553709500
1782444476.552937, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078553724166
1782444476.552997, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078553783625
1782444476.553013, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078553800458
1782444476.553073, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078553860208
1782444476.553087, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078553873416
1782444476.553142, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078553928416
1782444476.553156, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078553943958
1782444476.553215, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078554001750
1782444476.553228, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 70908389105952549202206099066837174149, 1782444476.552463, 8, 1, 135078554015333
1782444476.553312, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 70553825070808224891880900872507302459, 1782444476.553296, 9, 1, 135078554098250
1782444476.553348, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078554134875
1782444476.553385, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078554172083
1782444476.553416, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078554202666
1782444476.553455, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078554241416
1782444476.553468, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078554254750
1782444476.553520, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078554307208
1782444476.553533, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078554320250
1782444476.553585, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078554371916
1782444476.553598, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078554384583
1782444476.553662, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078554449708
1782444476.553677, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078554463416
1782444476.553730, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078554516958
1782444476.553743, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078554529583
1782444476.553795, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078554582083
1782444476.553808, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078554594791
1782444476.553859, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078554645791
1782444476.553871, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078554658083
1782444476.553928, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078554715000
1782444476.553942, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078554728541
1782444476.553995, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078554781208
1782444476.554007, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 70553825070808224891880900872507302459, 1782444476.553296, 9, 1, 135078554793666
1782444476.554083, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 329775206219426557179083991549865741986, 1782444476.554070, 10, 1, 135078554869833
1782444476.554122, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078554909291
1782444476.554157, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078554943375
1782444476.554170, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078554956791
1782444476.554223, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078555010083
1782444476.554240, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078555026916
1782444476.554295, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078555081250
1782444476.554308, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078555095000
1782444476.554376, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078555163291
1782444476.554391, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078555177333
1782444476.554443, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078555230000
1782444476.554461, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078555250708
1782444476.554518, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, end, 135078555305125
1782444476.554531, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, start, 135078555318333
1782444476.554585, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 6, run, end, 135078555371541
1782444476.554599, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, start, 135078555386250
1782444476.554653, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 7, run, end, 135078555440083
1782444476.554666, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, start, 135078555452666
1782444476.554717, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 8, run, end, 135078555503750
1782444476.554730, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, start, 135078555516583
1782444476.554783, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 9, run, end, 135078555569625
1782444476.554795, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, end, 329775206219426557179083991549865741986, 1782444476.554070, 10, 1, 135078555581875
1782444476.554875, NoOp Chain Depth 10 Size 0 Mode copy, pipeline - train, run, start, 326291537896463701941755035767854382002, 1782444476.554861, 11, 1, 135078555661541
1782444476.554908, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, start, 135078555694583
1782444476.554943, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 0, run, end, 135078555729333
1782444476.554956, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, start, 135078555742500
1782444476.555007, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 1, run, end, 135078555794041
1782444476.555023, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, start, 135078555811208
1782444476.555083, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 2, run, end, 135078555870375
1782444476.555096, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, start, 135078555883041
1782444476.555148, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 3, run, end, 135078555934250
1782444476.555160, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, start, 135078555946916
1782444476.555212, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 4, run, end, 135078555998958
1782444476.555227, NoOp Chain Depth 10 Size 0 Mode copy, Copy Stage 5, run, start, 135078556014583
