1782444415.755814, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, start, 135017756395166
1782444415.756736, NoOp Chain Depth 16 Size 0 Mode ref, pipeline, prepare, end, 135017757249583
1782444415.757236, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 218768575428207961146066829803146388431, 1782444415.757181, 1, 1, 135017757749041
1782444415.757301, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 135017757814041
1782444415.757358, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 135017757868750
1782444415.757377, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 135017757887916
1782444415.757447, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 135017757956708
1782444415.757463, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 135017757973500
1782444415.757533, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 135017758042208
1782444415.757548, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, start, 135017758058208
1782444415.757607, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, end, 135017758116416
1782444415.757621, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, start, 135017758130208
1782444415.757676, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 4, run, end, 135017758184625
1782444415.757689, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, start, 135017758197833
1782444415.757743, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 5, run, end, 135017758251750
1782444415.757756, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, start, 135017758264958
1782444415.757819, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 6, run, end, 135017758328041
1782444415.757832, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, start, 135017758340875
1782444415.757885, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 7, run, end, 135017758393500
1782444415.757912, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, start, 135017758421375
1782444415.757948, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 8, run, end, 135017758456541
1782444415.757960, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, start, 135017758469208
1782444415.758013, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 9, run, end, 135017758521791
1782444415.758025, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, start, 135017758534250
1782444415.758077, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 10, run, end, 135017758586083
1782444415.758089, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, start, 135017758598416
1782444415.758141, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 11, run, end, 135017758649583
1782444415.758153, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, start, 135017758661750
1782444415.758208, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 12, run, end, 135017758717000
1782444415.758221, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, start, 135017758729458
1782444415.758272, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 13, run, end, 135017758780375
1782444415.758283, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, start, 135017758792458
1782444415.758334, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 14, run, end, 135017758842958
1782444415.758346, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, start, 135017758855041
1782444415.758396, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 15, run, end, 135017758905000
1782444415.758409, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, end, 218768575428207961146066829803146388431, 1782444415.757181, 1, 1, 135017758918166
1782444415.758489, NoOp Chain Depth 16 Size 0 Mode ref, pipeline - train, run, start, 260576641980216265508330131810834013461, 1782444415.758476, 2, 1, 135017758998000
1782444415.758523, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, start, 135017759031791
1782444415.758558, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 0, run, end, 135017759067625
1782444415.758572, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, start, 135017759081291
1782444415.758631, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 1, run, end, 135017759139833
1782444415.758644, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, start, 135017759152833
1782444415.758695, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 2, run, end, 135017759203458
1782444415.758707, NoOp Chain Depth 16 Size 0 Mode ref, Ref Stage 3, run, start, 135017759215750
