# E2 collection
# started      : 2026-08-28 18:09:59 +0200
# machine      : gb10
# git_commit   : a64f8e2f497dac51297c190384fa5d4cb93ff32b
# git_dirty    : yes
# host         : spark-cc0d
# platform     : Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39
# python       : 3.10.19
# torch        : 2.10.0+cu130
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : 5-9,15-19
# runs         : 11
[08-28 18:10:01] pinning workload to core(s) [5-9,15-19]
[08-28 18:10:01] E2 collection: 9 cell(s) x 3 configurations x 11 runs on gb10
[08-28 19:06:01]   mod_meffv2m_b8_choreo-traced_gb10_r7 rc=0 46s rows=603 spans=2401
[08-28 19:06:46]   mod_meffv2m_b8_choreo_gb10_r8 rc=0 45s rows=602 spans=n/a
[08-28 19:07:31]   mod_meffv2m_b8_choreo-traced_gb10_r8 rc=0 45s rows=603 spans=2401
[08-28 19:08:15]   mod_meffv2m_b8_monolith_gb10_r8 rc=0 44s rows=605 spans=n/a
[08-28 19:09:01]   mod_meffv2m_b8_choreo-traced_gb10_r9 rc=0 46s rows=603 spans=2401
[08-28 19:09:46]   mod_meffv2m_b8_monolith_gb10_r9 rc=0 44s rows=605 spans=n/a
[08-28 19:10:31]   mod_meffv2m_b8_choreo_gb10_r9 rc=0 45s rows=602 spans=n/a
[08-28 19:11:15]   mod_meffv2m_b8_monolith_gb10_r10 rc=0 44s rows=605 spans=n/a
[08-28 19:12:00]   mod_meffv2m_b8_choreo_gb10_r10 rc=0 45s rows=602 spans=n/a
[08-28 19:12:46]   mod_meffv2m_b8_choreo-traced_gb10_r10 rc=0 45s rows=603 spans=2401
[08-28 19:13:30]   mod_meffv2m_b8_choreo_gb10_r11 rc=0 44s rows=602 spans=n/a
[08-28 19:14:16]   mod_meffv2m_b8_choreo-traced_gb10_r11 rc=0 45s rows=603 spans=2401
[08-28 19:15:01]   mod_meffv2m_b8_monolith_gb10_r11 rc=0 45s rows=605 spans=n/a
[08-28 19:15:43]   mod_meffv2s_b16_monolith_gb10_r1 rc=0 42s rows=605 spans=n/a
[08-28 19:16:27]   mod_meffv2s_b16_choreo_gb10_r1 rc=0 44s rows=602 spans=n/a
[08-28 19:17:11]   mod_meffv2s_b16_choreo-traced_gb10_r1 rc=0 44s rows=603 spans=2401
[08-28 19:17:55]   mod_meffv2s_b16_choreo_gb10_r2 rc=0 44s rows=602 spans=n/a
[08-28 19:18:40]   mod_meffv2s_b16_choreo-traced_gb10_r2 rc=0 45s rows=603 spans=2401
[08-28 19:19:23]   mod_meffv2s_b16_monolith_gb10_r2 rc=0 43s rows=605 spans=n/a
[08-28 19:20:08]   mod_meffv2s_b16_choreo-traced_gb10_r3 rc=0 45s rows=603 spans=2401
[08-28 19:20:51]   mod_meffv2s_b16_monolith_gb10_r3 rc=0 43s rows=605 spans=n/a
[08-28 19:21:34]   mod_meffv2s_b16_choreo_gb10_r3 rc=0 43s rows=602 spans=n/a
[08-28 19:22:17]   mod_meffv2s_b16_monolith_gb10_r4 rc=0 43s rows=605 spans=n/a
[08-28 19:23:01]   mod_meffv2s_b16_choreo_gb10_r4 rc=0 44s rows=602 spans=n/a
[08-28 19:23:45]   mod_meffv2s_b16_choreo-traced_gb10_r4 rc=0 44s rows=603 spans=2401
[08-28 19:24:29]   mod_meffv2s_b16_choreo_gb10_r5 rc=0 44s rows=602 spans=n/a
[08-28 19:25:14]   mod_meffv2s_b16_choreo-traced_gb10_r5 rc=0 45s rows=603 spans=2401
[08-28 19:25:57]   mod_meffv2s_b16_monolith_gb10_r5 rc=0 43s rows=605 spans=n/a
[08-28 19:26:41]   mod_meffv2s_b16_choreo-traced_gb10_r6 rc=0 44s rows=603 spans=2401
[08-28 19:27:24]   mod_meffv2s_b16_monolith_gb10_r6 rc=0 43s rows=605 spans=n/a
[08-28 19:28:08]   mod_meffv2s_b16_choreo_gb10_r6 rc=0 44s rows=602 spans=n/a
[08-28 19:28:51]   mod_meffv2s_b16_monolith_gb10_r7 rc=0 43s rows=605 spans=n/a
[08-28 19:29:35]   mod_meffv2s_b16_choreo_gb10_r7 rc=0 44s rows=602 spans=n/a
[08-28 19:30:19]   mod_meffv2s_b16_choreo-traced_gb10_r7 rc=0 44s rows=603 spans=2401
[08-28 19:31:03]   mod_meffv2s_b16_choreo_gb10_r8 rc=0 44s rows=602 spans=n/a
[08-28 19:31:47]   mod_meffv2s_b16_choreo-traced_gb10_r8 rc=0 44s rows=603 spans=2401
[08-28 19:32:30]   mod_meffv2s_b16_monolith_gb10_r8 rc=0 43s rows=605 spans=n/a
[08-28 19:33:15]   mod_meffv2s_b16_choreo-traced_gb10_r9 rc=0 45s rows=603 spans=2401
[08-28 19:33:57]   mod_meffv2s_b16_monolith_gb10_r9 rc=0 42s rows=605 spans=n/a
[08-28 19:34:41]   mod_meffv2s_b16_choreo_gb10_r9 rc=0 44s rows=602 spans=n/a
[08-28 19:35:24]   mod_meffv2s_b16_monolith_gb10_r10 rc=0 43s rows=605 spans=n/a
[08-28 19:36:08]   mod_meffv2s_b16_choreo_gb10_r10 rc=0 44s rows=602 spans=n/a
[08-28 19:36:52]   mod_meffv2s_b16_choreo-traced_gb10_r10 rc=0 44s rows=603 spans=2401
[08-28 19:37:36]   mod_meffv2s_b16_choreo_gb10_r11 rc=0 44s rows=602 spans=n/a
[08-28 19:38:20]   mod_meffv2s_b16_choreo-traced_gb10_r11 rc=0 44s rows=603 spans=2401
[08-28 19:39:03]   mod_meffv2s_b16_monolith_gb10_r11 rc=0 43s rows=605 spans=n/a
