1787733438.758961, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, start, 9852504597570401
1787733438.760877, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline, prepare, end, 9852504598944782
1787733438.761303, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 205018969983435840774828522210821441693, 1787733438.761270, 1, 1, 9852504599366958
1787733438.761362, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9852504599431470
1787733438.761420, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9852504599482429
1787733438.761449, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9852504599513277
1787733438.768335, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9852504606401538
1787733438.768370, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9852504606436498
1787733438.775352, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9852504613418759
1787733438.775386, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9852504613451623
1787733438.781563, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9852504619628957
1787733438.781596, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9852504619666093
1787733438.787729, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9852504625804691
1787733438.787839, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9852504625919267
1787733438.793800, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9852504631868105
1787733438.793840, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9852504631903497
1787733438.799890, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9852504637964911
1787733438.800013, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9852504638095439
1787733438.805763, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9852504643830757
1787733438.805799, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9852504643864565
1787733438.811965, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9852504650034603
1787733438.812104, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9852504650185787
1787733438.818082, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9852504656154177
1787733438.818206, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 205018969983435840774828522210821441693, 1787733438.761270, 1, 1, 9852504656302129
1787733438.818475, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 328771927423191705752749227343754215802, 1787733438.818437, 2, 1, 9852504656537121
1787733438.818635, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9852504656707776
1787733438.818713, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9852504656774320
1787733438.818742, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9852504656803696
1787733438.824898, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9852504662972390
1787733438.825009, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9852504663082294
1787733438.825685, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9852504663749509
1787733438.825722, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9852504663783541
1787733438.826459, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9852504664526340
1787733438.826572, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9852504664644755
1787733438.827360, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9852504665424578
1787733438.827388, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9852504665450066
1787733438.828164, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9852504666226321
1787733438.828560, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9852504666632976
1787733438.829341, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9852504667404767
1787733438.829367, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9852504667428991
1787733438.830114, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9852504668176158
1787733438.830136, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9852504668198990
1787733438.830861, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9852504668922781
1787733438.830892, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9852504668953868
1787733438.831598, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, end, 9852504669659099
1787733438.831626, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, end, 328771927423191705752749227343754215802, 1787733438.818437, 2, 1, 9852504669688939
1787733438.831696, NoOp Chain Depth 10 Size 10485760 Mode copy, pipeline - train, run, start, 46978140695820689154509293669880597803, 1787733438.831671, 3, 1, 9852504669757707
1787733438.831733, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, start, 9852504669795371
1787733438.831765, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 0, run, end, 9852504669825387
1787733438.831789, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, start, 9852504669850715
1787733438.832540, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 1, run, end, 9852504670603482
1787733438.832564, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, start, 9852504670625370
1787733438.833455, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 2, run, end, 9852504671515304
1787733438.833473, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, start, 9852504671533912
1787733438.834250, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 3, run, end, 9852504672313127
1787733438.834272, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, start, 9852504672333623
1787733438.835032, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 4, run, end, 9852504673093974
1787733438.835054, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, start, 9852504673115414
1787733438.835770, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 5, run, end, 9852504673832229
1787733438.835799, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, start, 9852504673860229
1787733438.836494, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 6, run, end, 9852504674556067
1787733438.836515, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, start, 9852504674576787
1787733438.837265, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 7, run, end, 9852504675327458
1787733438.837286, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, start, 9852504675347586
1787733438.837997, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 8, run, end, 9852504676059073
1787733438.838020, NoOp Chain Depth 10 Size 10485760 Mode copy, Copy Stage 9, run, start, 9852504676081617
