1787733366.823364, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 9852432661423396
1787733366.823382, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 9852432661443156
1787733366.823408, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 9852432661467380
1787733366.823426, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 9852432661487604
1787733366.823453, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 9852432661512292
1787733366.823471, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 9852432661532052
1787733366.823498, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 9852432661557220
1787733366.823516, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 9852432661577283
1787733366.823543, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 9852432661602147
1787733366.823561, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start, 9852432661622131
1787733366.823586, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end, 9852432661645283
1787733366.823604, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 128020980727440108986514362535297016897, 1787733366.823121, 3, 1, 9852432661665027
1787733366.823643, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 284291559792898236899505392989732864717, 1787733366.823632, 4, 1, 9852432661703475
1787733366.823668, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start, 9852432661729075
1787733366.823691, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end, 9852432661750323
1787733366.823710, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start, 9852432661771123
1787733366.823736, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end, 9852432661795619
1787733366.823755, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start, 9852432661815379
1787733366.823780, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end, 9852432661839779
1787733366.823799, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start, 9852432661859523
1787733366.823828, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end, 9852432661888067
1787733366.823847, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start, 9852432661907939
1787733366.823873, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end, 9852432661931795
1787733366.823891, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start, 9852432661951859
1787733366.823916, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end, 9852432661976003
1787733366.823935, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start, 9852432661995331
1787733366.823963, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end, 9852432662022835
1787733366.823982, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start, 9852432662042371
1787733366.824008, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end, 9852432662067475
1787733366.824027, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start, 9852432662087571
1787733366.824053, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end, 9852432662111986
1787733366.824071, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start, 9852432662132210
