1787831700.838001, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline, prepare, start, 9950766676610369
1787831700.839491, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline, prepare, end, 9950766677557568
1787831700.840186, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 184005331771380100257558361771264136672, 1787831700.840130, 1, 1, 9950766678251088
1787831700.898310, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 184005331771380100257558361771264136672, 1787831700.840130, 1, 1, 9950766736391346
1787831700.898571, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 170928641805031854424471301877567060612, 1787831700.898546, 2, 1, 9950766736636450
1787831700.911100, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 170928641805031854424471301877567060612, 1787831700.898546, 2, 1, 9950766749181295
1787831700.911367, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 130343033080589152765860702758700758983, 1787831700.911299, 3, 1, 9950766749433535
1787831700.918994, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 130343033080589152765860702758700758983, 1787831700.911299, 3, 1, 9950766757075437
1787831700.919240, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 107850240531749895593969619616684760123, 1787831700.919176, 4, 1, 9950766757304957
1787831700.926899, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 107850240531749895593969619616684760123, 1787831700.919176, 4, 1, 9950766764976971
1787831700.927136, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 169543418285914883814114545270744584948, 1787831700.927070, 5, 1, 9950766765201947
1787831700.934730, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 169543418285914883814114545270744584948, 1787831700.927070, 5, 1, 9950766772809289
1787831700.934974, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 52841563299095318533217969524693397361, 1787831700.934906, 6, 1, 9950766773039561
