1787036922.760275, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline, prepare, start, 337849218762916
1787036922.763787, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline, prepare, end, 337849221841833
1787036922.764886, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 292426383732386639757900973581761502082, 1787036922.764749, 1, 1, 337849222921708
1787036922.765169, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 337849223203875
1787036922.765346, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 337849223371375
1787036922.765509, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 337849223537166
1787036922.765715, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 337849223739666
1787036922.765927, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 337849223960291
1787036922.766186, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 337849224213208
1787036922.766382, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 337849224406791
1787036922.766523, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 337849224547125
1787036922.766745, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 337849224768625
1787036922.766839, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 337849224862250
1787036922.766930, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start, 337849224951958
1787036922.767199, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end, 337849225225166
1787036922.767425, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start, 337849225450208
1787036922.767564, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end, 337849225587625
1787036922.767709, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start, 337849225733125
1787036922.767881, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end, 337849225903416
1787036922.768052, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start, 337849226080791
1787036922.768230, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end, 337849226253041
1787036922.768297, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start, 337849226319333
1787036922.768381, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end, 337849226403041
1787036922.768441, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 292426383732386639757900973581761502082, 1787036922.764749, 1, 1, 337849226463416
1787036922.768918, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 81278886243147073820271523297804099696, 1787036922.768816, 2, 1, 337849226945208
1787036922.769233, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 337849227258541
1787036922.769372, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 337849227397416
1787036922.769556, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 337849227583166
1787036922.769739, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 337849227763666
1787036922.769807, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 337849227828458
1787036922.769877, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 337849227898291
1787036922.769931, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 337849227951416
1787036922.769997, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 337849228017625
1787036922.770050, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 337849228070333
1787036922.770114, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 337849228134166
1787036922.770162, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start, 337849228183000
1787036922.770228, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end, 337849228248083
1787036922.770275, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start, 337849228295250
1787036922.770417, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end, 337849228438625
1787036922.770481, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start, 337849228501875
1787036922.770545, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end, 337849228565708
1787036922.770591, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start, 337849228612000
1787036922.770734, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end, 337849228755208
1787036922.770788, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start, 337849228809375
1787036922.771047, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end, 337849229070666
1787036922.771108, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 81278886243147073820271523297804099696, 1787036922.768816, 2, 1, 337849229130166
1787036922.771485, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 284196699961233700694690936007195228952, 1787036922.771318, 3, 1, 337849229509375
1787036922.772013, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 337849230040083
1787036922.772181, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 337849230204291
1787036922.772243, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 337849230264375
1787036922.772312, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 337849230332791
1787036922.772364, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 337849230386000
1787036922.772430, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 337849230450833
1787036922.772664, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 337849230688833
1787036922.772893, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 337849230917916
1787036922.772952, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 337849230973708
1787036922.773018, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 337849231038708
1787036922.773068, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start, 337849231090291
1787036922.773133, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end, 337849231153708
1787036922.773183, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start, 337849231204916
1787036922.773248, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end, 337849231268083
1787036922.773293, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start, 337849231313625
1787036922.773353, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end, 337849231373333
1787036922.773398, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start, 337849231418500
1787036922.773457, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end, 337849231477791
1787036922.773503, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start, 337849231523458
1787036922.773562, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end, 337849231582916
1787036922.773607, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 284196699961233700694690936007195228952, 1787036922.771318, 3, 1, 337849231628166
1787036922.773879, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 256280764065485522257494650188490280702, 1787036922.773764, 4, 1, 337849231902625
1787036922.774130, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start, 337849232153041
1787036922.774226, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end, 337849232248458
1787036922.774285, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start, 337849232306291
1787036922.774558, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end, 337849232580416
1787036922.774615, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start, 337849232636666
1787036922.774807, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end, 337849232832541
1787036922.774919, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start, 337849232942625
1787036922.775442, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end, 337849233465875
1787036922.775505, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start, 337849233526500
1787036922.775584, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end, 337849233604708
1787036922.775640, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start, 337849233661750
1787036922.775710, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end, 337849233730791
1787036922.776086, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start, 337849234111166
1787036922.776176, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end, 337849234197708
1787036922.776237, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start, 337849234257708
1787036922.776372, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end, 337849234394708
1787036922.776426, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start, 337849234445541
1787036922.776482, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end, 337849234502208
1787036922.776527, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start, 337849234548250
1787036922.776584, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end, 337849234604250
1787036922.776628, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 256280764065485522257494650188490280702, 1787036922.773764, 4, 1, 337849234649500
