1787079871.682486, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937520546035
1787079871.682508, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937520568083
1787079871.682558, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937520617859
1787079871.682579, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937520638355
1787079871.682615, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 145647536881934534486542130635016410005, 1787079871.681744, 9, 1, 9198937520674259
1787079871.682652, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 320762188165197156806776727055655136532, 1787079871.682642, 10, 1, 9198937520711347
1787079871.682674, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937520733027
1787079871.682694, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937520752915
1787079871.682753, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937520812147
1787079871.682772, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937520831123
1787079871.682806, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 320762188165197156806776727055655136532, 1787079871.682642, 10, 1, 9198937520865347
1787079871.682841, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 52442005666210444941939538175783065586, 1787079871.682832, 11, 1, 9198937520900227
1787079871.682862, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937520921315
1787079871.682882, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937520941763
1787079871.682943, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937521004819
1787079871.682966, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937521024915
1787079871.683001, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 52442005666210444941939538175783065586, 1787079871.682832, 11, 1, 9198937521060675
1787079871.683060, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 1107408749693750634958135747910698862, 1787079871.683047, 12, 1, 9198937521119347
1787079871.683100, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937521159075
1787079871.683120, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, end, 9198937521179267
1787079871.683135, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, start, 9198937521193843
1787079871.683154, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 1, run, end, 9198937521213139
1787079871.683205, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, end, 1107408749693750634958135747910698862, 1787079871.683047, 12, 1, 9198937521264770
1787079871.683258, NoOp Chain Depth 2 Size 0 Mode ref, pipeline - train, run, start, 182374127950037535105489945751982207423, 1787079871.683241, 13, 1, 9198937521317746
1787079871.683291, NoOp Chain Depth 2 Size 0 Mode ref, Ref Stage 0, run, start, 9198937521350130
