1769541867.722283, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.722294, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.721933, 3, 1
1769541867.722331, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.722320, 4, 1
1769541867.722348, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.722362, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.722373, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.722397, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.722408, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.722431, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.722442, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.722466, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.722477, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.722500, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.722514, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.722560, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.722590, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.722628, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.722666, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.722702, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.722728, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.722784, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.722817, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.722836, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.722860, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.722320, 4, 1
1769541867.722963, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.722947, 5, 1
1769541867.723011, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.723045, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.723058, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.723125, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.723157, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.723178, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.723194, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.723227, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.723246, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.723264, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.723285, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.723309, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.723418, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.723547, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.723688, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.723718, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.723739, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.723760, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.723807, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
