1787833066.355312, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline, prepare, start, 7967512874333
1787833066.356941, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline, prepare, end, 7967514229208
1787833066.357512, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 204768463031964380592095432635920576934, 1787833066.357392, 1, 1, 7967514800250
1787833066.370828, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 204768463031964380592095432635920576934, 1787833066.357392, 1, 1, 7967528120750
1787833066.371038, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 231987560477786867747135987236443159828, 1787833066.370983, 2, 1, 7967528330208
1787833066.386194, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 231987560477786867747135987236443159828, 1787833066.370983, 2, 1, 7967543486708
1787833066.386453, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 148375128162549010844256507178903095362, 1787833066.386398, 3, 1, 7967543740000
1787833066.402978, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 148375128162549010844256507178903095362, 1787833066.386398, 3, 1, 7967560270625
1787833066.403165, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 128260376336222366962259701542673910439, 1787833066.403130, 4, 1, 7967560456916
1787833066.420083, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 128260376336222366962259701542673910439, 1787833066.403130, 4, 1, 7967577376791
1787833066.420368, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 326849713503590155483572612771558793593, 1787833066.420302, 5, 1, 7967577654541
1787833066.437442, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 326849713503590155483572612771558793593, 1787833066.420302, 5, 1, 7967594736958
1787833066.437716, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 245869485929922445982864363726999246573, 1787833066.437656, 6, 1, 7967595001541
1787833066.455150, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 245869485929922445982864363726999246573, 1787833066.437656, 6, 1, 7967612443125
1787833066.455374, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 244466489472383264923990652120507769258, 1787833066.455321, 7, 1, 7967612666500
1787833066.471914, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 244466489472383264923990652120507769258, 1787833066.455321, 7, 1, 7967629206791
1787833066.472194, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 143349299966466307194586824052453517342, 1787833066.472133, 8, 1, 7967629477791
1787833066.488003, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 143349299966466307194586824052453517342, 1787833066.472133, 8, 1, 7967645295333
1787833066.488229, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 35431414366244521886225481955578566412, 1787833066.488185, 9, 1, 7967645512000
1787833066.504097, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 35431414366244521886225481955578566412, 1787833066.488185, 9, 1, 7967661392083
1787833066.504371, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, start, 272889188342649422307933210797340135082, 1787833066.504324, 10, 1, 7967661655833
1787833066.517921, NoOp Chain Depth 10 Size 10485760 Mode copy nolog, pipeline - train, run, end, 272889188342649422307933210797340135082, 1787833066.504324, 10, 1, 7967675213875
