arm	depth	run	rc	seconds	csv_rows	spans
proc	5	3	0	5	1215	1926
spans	5	3	0	5	205	1926
off	5	3	0	4	1214	
nolog	5	3	0	4	204	
spans	5	4	0	5	205	1926
off	5	4	0	5	1214	
nolog	5	4	0	4	204	
proc	5	4	0	6	1215	1926
off	5	5	0	4	1214	
nolog	5	5	0	4	204	
proc	5	5	0	6	1215	1926
spans	5	5	0	5	205	1926
nolog	5	6	0	4	204	
proc	5	6	0	5	1215	1926
spans	5	6	0	5	205	1926
off	5	6	0	5	1214	
proc	5	7	0	6	1215	1926
spans	5	7	0	5	205	1926
off	5	7	0	4	1214	
nolog	5	7	0	5	204	
spans	5	8	0	6	205	1926
off	5	8	0	4	1214	
nolog	5	8	0	4	204	
proc	5	8	0	6	1215	1926
off	5	9	0	5	1214	
nolog	5	9	0	4	204	
proc	5	9	0	5	1215	1926
spans	5	9	0	5	205	1926
nolog	5	10	0	4	204	
proc	5	10	0	6	1215	1926
spans	5	10	0	5	205	1926
off	5	10	0	5	1214	
proc	5	11	0	5	1215	1926
spans	5	11	0	5	205	1926
off	5	11	0	4	1214	
nolog	5	11	0	5	204	
off	6	1	0	4	1416	
nolog	6	1	0	4	204	
proc	6	1	0	6	1417	2230
spans	6	1	0	6	205	2230
nolog	6	2	0	5	204	
proc	6	2	0	5	1417	2230
spans	6	2	0	5	205	2230
off	6	2	0	4	1416	
proc	6	3	0	5	1417	2230
spans	6	3	0	5	205	2230
off	6	3	0	4	1416	
nolog	6	3	0	4	204	
spans	6	4	0	5	205	2230
off	6	4	0	5	1416	
nolog	6	4	0	4	204	
proc	6	4	0	5	1417	2230
off	6	5	0	4	1416	
nolog	6	5	0	5	204	
proc	6	5	0	5	1417	2230
spans	6	5	0	5	205	2230
nolog	6	6	0	4	204	
proc	6	6	0	6	1417	2230
spans	6	6	0	5	205	2230
off	6	6	0	4	1416	
proc	6	7	0	5	1417	2230
spans	6	7	0	5	205	2230
off	6	7	0	5	1416	
nolog	6	7	0	4	204	
spans	6	8	0	5	205	2230
off	6	8	0	4	1416	
nolog	6	8	0	4	204	
proc	6	8	0	6	1417	2230
off	6	9	0	4	1416	
nolog	6	9	0	4	204	
proc	6	9	0	5	1417	2230
spans	6	9	0	5	205	2230
nolog	6	10	0	4	204	
proc	6	10	0	5	1417	2230
spans	6	10	0	5	205	2230
off	6	10	0	5	1416	
proc	6	11	0	5	1417	2230
spans	6	11	0	5	205	2230
off	6	11	0	4	1416	
nolog	6	11	0	4	204	
off	7	1	0	4	1618	
nolog	7	1	0	4	204	
proc	7	1	0	5	1619	2534
spans	7	1	0	5	205	2534
nolog	7	2	0	4	204	
proc	7	2	0	5	1619	2534
spans	7	2	0	5	205	2534
off	7	2	0	4	1618	
proc	7	3	0	5	1619	2534
spans	7	3	0	6	205	2534
off	7	3	0	4	1618	
nolog	7	3	0	4	204	
spans	7	4	0	5	205	2534
off	7	4	0	4	1618	
nolog	7	4	0	5	204	
proc	7	4	0	5	1619	2534
off	7	5	0	4	1618	
nolog	7	5	0	4	204	
proc	7	5	0	6	1619	2534
spans	7	5	0	5	205	2534
nolog	7	6	0	5	204	
proc	7	6	0	5	1619	2534
spans	7	6	0	5	205	2534
off	7	6	0	4	1618	
proc	7	7	0	5	1619	2534
spans	7	7	0	6	205	2534
off	7	7	0	4	1618	
nolog	7	7	0	5	204	
spans	7	8	0	5	205	2534
off	7	8	0	5	1618	
nolog	7	8	0	4	204	
proc	7	8	0	5	1619	2534
off	7	9	0	5	1618	
nolog	7	9	0	4	204	
proc	7	9	0	5	1619	2534
spans	7	9	0	5	205	2534
nolog	7	10	0	4	204	
proc	7	10	0	5	1619	2534
spans	7	10	0	5	205	2534
off	7	10	0	4	1618	
proc	7	11	0	5	1619	2534
spans	7	11	0	6	205	2534
off	7	11	0	4	1618	
